date,actual,sarima,random_forest,xgboost,lstm,residuals_sarima,residuals_rf,residuals_xgb,residuals_lstm
2016-09-15,354.0,512.9924113215937,399.31,389.0611,385.4746,-158.99241132159375,-45.31,-35.06109619140625,-31.474609375
2016-09-16,433.0,516.7495745604234,431.64,466.4284,642.7185,-83.74957456042341,1.3600000000000136,-33.42840576171875,-209.718505859375
2016-09-17,690.0,707.1694953378426,887.69,837.0047,1108.8108,-17.16949533784259,-197.69000000000005,-147.00469970703125,-418.810791015625
2016-09-18,823.0,692.8407671643002,867.01,910.8834,1132.2988,130.15923283569975,-44.00999999999999,-87.8834228515625,-309.298828125
2016-09-19,459.0,525.2315552708362,552.5,550.8695,656.14886,-66.23155527083622,-93.5,-91.8695068359375,-197.14886474609375
2016-09-20,388.0,591.161104335389,401.59,369.8421,574.7173,-203.16110433538904,-13.589999999999975,18.15789794921875,-186.71728515625
2016-09-21,391.0,695.8918356079789,482.73,493.41476,472.40427,-304.8918356079789,-91.73000000000002,-102.41476440429688,-81.40426635742188
2016-09-22,358.0,564.2931520274894,389.85,439.81366,408.80118,-206.29315202748944,-31.850000000000023,-81.81365966796875,-50.801177978515625
2016-09-23,365.0,516.5421341192412,410.0,390.74115,450.91632,-151.54213411924115,-45.0,-25.74114990234375,-85.91632080078125
2016-09-24,607.0,677.4026702031115,768.78,785.26874,659.3561,-70.40267020311148,-161.77999999999997,-178.26873779296875,-52.3560791015625
2016-09-25,782.0,663.5334984920651,854.52,919.48474,677.2109,118.46650150793494,-72.51999999999998,-137.4847412109375,104.78912353515625
2016-09-26,395.0,515.0595637896869,503.42,545.49115,292.40308,-120.05956378968688,-108.42000000000002,-150.49114990234375,102.596923828125
2016-09-27,350.0,594.3914695657065,362.43,454.3479,333.1683,-244.39146956570653,-12.430000000000007,-104.347900390625,16.831695556640625
2016-09-28,429.0,703.5425044403345,432.77,436.20923,342.91425,-274.5425044403345,-3.769999999999982,-7.209228515625,86.08575439453125
2016-09-29,279.0,573.2513175417582,353.92,386.98898,370.53055,-294.2513175417582,-74.92000000000002,-107.98898315429688,-91.53054809570312
2016-09-30,484.0,521.2932554506971,390.88,480.53693,550.4745,-37.293255450697075,93.12,3.46307373046875,-66.4744873046875
2016-10-01,1083.0,674.1828188643185,936.75,1009.1508,1070.9043,408.8171811356815,146.25,73.84918212890625,12.095703125
